tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-NO:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				118.70		g	12.1	1.24E-07	0		u	273			0	0	0	273
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				119.70		g	13.7	1.26E-07	1		u	273			0	0	0	3.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				120.50		g	13.4	1.24E-07	2		u	273			2.50E-05	0	90	3.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				119.90		g	12.5	1.23E-07	3		u	273			0	0	0	3.98E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				119.70		g	12.8	1.24E-07	4		u	273			2.50E-05	0	90	3.98E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				120.10		g	13.5	1.25E-07	5		u	273			0	0	0	4.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				119.70		g	13.3	1.21E-07	6		u	273			2.50E-05	0	90	3.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				121.50		g	13.7	1.24E-07	7		u	273			2.50E-05	0	90	4.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				121.90		g	13.1	1.23E-07	8		u	273			0	0	0	4.48E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				122.00		g	14.2	1.23E-07	9		u	273			2.50E-05	0	90	4.48E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				121.80		g	11.4	1.21E-07	10		u	273			0	0	0	4.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				119.20		g	13.4	1.21E-07	11		u	273			2.50E-05	0	90	4.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				121.10		g	14.2	1.23E-07	12		u	273			2.50E-05	0	90	4.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				120.90		g	11.9	1.18E-07	13		u	273			0	0	0	4.98E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				121.30		g	15.5	1.21E-07	14		u	273			2.50E-05	0	90	4.98E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				121.20		g	12.1	1.14E-07	15		u	273			0	0	0	5.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				122.30		g	15.3	1.17E-07	16		u	273			2.50E-05	0	90	4.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				120.50		g	17.8	1.17E-07	17		u	273			2.50E-05	0	90	5.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				121.70		g	14	1.09E-07	18		u	273			0	0	0	5.48E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				120.30		g	18.4	1.10E-07	19		u	273			2.50E-05	0	90	5.48E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				121.30		g	13.5	1.01E-07	20		u	273			0	0	0	5.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				120.80		g	18.7	1.04E-07	21		u	273			2.50E-05	0	90	5.23E+02
